,Filename,WC,WPS,Sixltr,Dic,Функция,Местоимение,Личноеместоимение,я,мы,онаон,они,вербальные,Наречие,Предлог,Союз,Отрицание,quant,Числительное,Общество,Позитив,Когнитив,Интуиция,Мотивация,Несоответствие,Попытка,Уверенность,Помеха,Включение,Исключение,Перцепция,Видение,Слышание,Чувствование,Пространство,Время,Работа,AllPunc,Period,Comma,Dash,ID,Text,Sex,Truth,Avg_sent,TTR,Avg_word,Hapax,Yules,Posemo,DMsub,DMadd,FWcount,NP,ADVP,ADJP,NUMP,FULLP,Ego,Inten,Perc,Dec,И,В,Не,На,С,Что,По,Но,Как
0,1Л.docx,80,11.43,30.0,76.25,40.0,12.5,8.75,0.0,7.5,1.25,0.0,3.75,2.5,12.5,6.25,1.25,2.5,1.25,13.75,5.0,21.25,1.25,1.25,1.25,2.5,1.25,0.0,12.5,1.25,1.25,0.0,1.25,0.0,17.5,8.75,2.5,22.5,8.75,12.5,1.25,1.0,"Решили мы в субботу отметить день рождения друга. Собрались где-то часов в пять вечера, взяли продуктов, гитару и палатки, подруг и поехали на речной берег. Весь вечер мы танцевали, рассказывали шутки, пели песни под гитару. Мы разожгли очень большой, красивый костер, вокруг которого мы просидели всю ночь. Под утро. многие захотели спать и пошли по своим спальным местам. Отдохнув, было решено, поехать на турбазу всей нашей компанией. Но на турбазе свободных мест не оказалось, и мы разъехались по домам.   ",муж.,1,10.777777777777779,0.7010309278350515,4.422680412371133,0.8676470588235294,477.9411764705882,5.063291139240507,1.2658227848101267,5.063291139240507,93.67088607594937,0.0,2.5316455696202533,2.5316455696202533,1.2658227848101267,6.329113924050633,0.0,1.2658227848101267,0.0,1.2658227848101267,5.063291139240507,11.39240506329114,1.2658227848101267,5.063291139240507,7.59493670886076,0.0,10.126582278481013,2.5316455696202533,0.0
1,1П.docx,89,6.36,42.7,66.29,34.83,2.25,1.12,0.0,1.12,0.0,1.12,8.99,1.12,15.73,5.62,0.0,4.49,2.25,7.87,7.87,16.85,2.25,0.0,2.25,0.0,3.37,0.0,11.24,0.0,0.0,0.0,0.0,0.0,6.74,12.36,3.37,22.47,15.73,3.37,1.12,1.0,"В субботу  с друзьями отметили день рождения одного из друзей. Выехали в баню в количестве 6 человек мужского пола. Растопили баню. Сначала температура была 80-90°С, что вполне достаточно для хорошего купания. Спустя несколько часов температура выросла до 110°С, и это стало небольшой проблемой. Пришлось открыть все двери и проветрить. Во время проветривания пожарили шашлык из куриного мяса . Получился хороший, прожареный шашлык. Время шло. Мы с друзьями отдыхали и веселились. Вообщем баня ролучилась что надо. Люблю засыпать после бани. В организме такая легкость. Суббота очень быстро пролетела.  ",муж.,0,6.866666666666666,0.7281553398058253,4.990291262135922,0.84,444.4444444444445,3.488372093023256,5.813953488372093,5.813953488372093,88.37209302325581,4.651162790697675,1.1627906976744187,4.651162790697675,1.1627906976744187,11.627906976744187,0.0,1.1627906976744187,0.0,10.465116279069768,5.813953488372093,13.953488372093023,2.3255813953488373,1.1627906976744187,8.13953488372093,2.3255813953488373,4.651162790697675,0.0,0.0
2,2Л.docx,91,10.11,28.57,87.91,43.96,17.58,14.29,13.19,0.0,1.1,3.3,19.78,1.1,12.09,10.99,0.0,1.1,0.0,13.19,5.49,18.68,3.3,2.2,0.0,3.3,1.1,0.0,12.09,0.0,3.3,0.0,5.49,0.0,7.69,13.19,1.1,17.58,9.89,4.4,1.1,2.0,"Вчера я работала над собой. Я делаю это каждый день. Я начинаю день с того, что выпиваю йогурт с овсяными отрубями и выхожу на пробежку. Потом я решила повторить вчерашнюю лекцию по теории вероятностей и позвонить родителям. Как всегда прошел обмен любезностями и отец мне сказал, что прилетает через неделю. Мой закадычный друг - журналист пригласил меня на Джазовый фестиваль. Я узнала, что группа ""Caravan"" играет авангардный рок. Потом позвонил мой друг из Москвы и сказал, что он едет ко мне в гости. Я отношусь к этому спокойно и продолжаю готовиться кристаллографии.",жен.,1,11.888888888888891,0.7102803738317757,4.5233644859813085,0.8289473684210527,334.1412742382272,2.1505376344086025,2.1505376344086025,7.526881720430108,95.6989247311828,17.20430107526882,2.1505376344086025,8.60215053763441,0.0,27.95698924731183,13.978494623655912,0.0,0.0,6.451612903225806,7.526881720430108,6.451612903225806,1.0752688172043012,4.301075268817205,6.451612903225806,4.301075268817205,6.451612903225806,0.0,1.0752688172043012
3,2П.docx,198,7.62,26.77,82.32,47.98,13.64,12.63,8.08,0.0,4.55,1.01,18.69,2.02,13.64,10.61,3.54,2.53,0.51,13.13,2.53,21.21,4.04,5.05,1.01,0.51,5.56,0.0,6.06,1.01,2.53,0.51,2.02,1.01,9.09,6.06,2.02,24.24,13.13,5.05,3.03,2.0,"Вчера позвонил мой друг-топограф из командировки. Он был пьян. Он всегда звонит мне, когда пьян. И когда в командировке. Я посмотрела фильм ""Never let me go"" и подумала о том, что заплакать искренне никогда не получится. Я думала перед сном о смысле любви и поняла, что все сводится к невротической привязанности. Я поговорила с родителями в скайпе. Отец собирается сдавать билеты и не приезжать ко мне. В каждом диалоге он напоминает мне о том, что пить -  вредно, хотя сам делает это регулярно. Он не приедет. Не найдет здесь работу. Я буду жить в общаге до конца учебы в университете. Сумбурный полет мыслей. Вчера меня дико раздражали соседки по комнате. Одна - ходит как слон. У другой парень с противным голосом. Я должна это терпеть. Мне не хватает смелости высказать им все в лицо, но я знаю, что уже поздно. Что нужно было зарекомендовать себя как уверенного в себе человека, а не как скромную ""тихоню"". Вчера я продолжала радоваться тому, что закончила свою самодельную игрушку в виде саморазгорающегося кристалла. Все-таки делать что-то своими руками - чрезвычайно здорово. От стресса спасает кот. И кристалл. И ""Генератор Ван де Граафа"". Мне приснилось, что я играла на саксафоне. И у меня получалось.  ",жен.,0,8.925925925925926,0.6182572614107884,4.232365145228216,0.8456375838926175,514.3912436376738,2.4752475247524752,2.9702970297029703,5.9405940594059405,100.0,14.85148514851485,3.9603960396039604,4.455445544554455,0.0,23.267326732673265,7.425742574257425,0.49504950495049505,0.9900990099009901,4.9504950495049505,5.9405940594059405,8.91089108910891,3.4653465346534658,1.4851485148514851,11.386138613861387,3.9603960396039604,4.9504950495049505,0.49504950495049505,1.4851485148514851
4,3Л.docx,85,21.25,29.41,82.35,51.76,11.76,7.06,0.0,4.71,1.18,3.53,14.12,5.88,16.47,4.71,2.35,3.53,1.18,7.06,3.53,17.65,1.18,0.0,0.0,2.35,2.35,1.18,12.94,0.0,1.18,1.18,0.0,0.0,22.35,8.24,1.18,16.47,4.71,11.76,0.0,3.0,"Приехав в Питер, мы сразу поехали в квартиру, которую мы забронировали, она была в центре города, прямо на Невском, прямо из окна можно было видеть красивые пейзажи Питера, особенно вечером, когда солнце садилось, было очень красиво. Конечно гулять в этом городе можно бесконечно и это не надоест, пока гуляешь непроизвольно радуешься всему что тебя окружает. Каждый вечер мы колесили по городу по разным заведениям, однозначно таких клубов и пабов у нас в городе еще нету и долго не будет. Невероятное настроение получаешь от этого города. ",муж.,1,19.8,0.7272727272727273,4.606060606060606,0.8333333333333334,337.5771604938272,4.705882352941177,4.705882352941177,4.705882352941177,94.11764705882352,3.5294117647058822,2.3529411764705883,5.88235294117647,1.1764705882352942,12.941176470588236,2.3529411764705883,3.5294117647058822,1.1764705882352942,11.76470588235294,4.705882352941177,10.588235294117647,7.0588235294117645,4.705882352941177,3.5294117647058822,1.1764705882352942,5.88235294117647,0.0,0.0
5,3П.docx,92,23.0,32.61,82.61,43.48,7.61,4.35,1.09,1.09,2.17,2.17,11.96,3.26,14.13,8.7,5.43,2.17,0.0,5.43,3.26,21.74,2.17,2.17,0.0,3.26,2.17,0.0,9.78,2.17,2.17,1.09,0.0,1.09,15.22,7.61,2.17,16.3,4.35,10.87,1.09,3.0,"В общем мы приехали в Питер, поехали в квартиру, которую забронировали, она находилась недалеко от центра. Побросав вещи сразу пошли гулять, прогульнулись по центру и пошли кушать, в принципе каждое светлое время суток во время нашего пребывания не отличалось. Вечером направлялись в любой Паб или Бар и там коротали время, именно коротали время, так как особого веселья я там не застал, возможно из-за не самой веселой компании. Конечно было интересно посетить музеи и другие достопримечательности этого города, но все это происходило без должных эмоций, и вообще всю поездку настроение было не очень.",муж.,0,26.5,0.7264150943396226,4.820754716981132,0.8701298701298701,328.89188733344577,5.434782608695652,6.521739130434782,8.695652173913043,111.95652173913044,5.434782608695652,4.3478260869565215,6.521739130434782,1.0869565217391304,17.391304347826086,1.0869565217391304,1.0869565217391304,0.0,11.956521739130435,8.695652173913043,18.478260869565215,5.434782608695652,4.3478260869565215,4.3478260869565215,0.0,7.608695652173914,1.0869565217391304,1.0869565217391304
6,4Л.docx,45,6.43,28.89,86.67,31.11,8.89,8.89,8.89,0.0,0.0,0.0,11.11,0.0,17.78,0.0,0.0,2.22,0.0,11.11,4.44,4.44,0.0,2.22,0.0,2.22,0.0,0.0,0.0,0.0,0.0,0.0,2.22,0.0,20.0,13.33,0.0,24.44,15.56,8.89,0.0,4.0,"Вчера я проснулся дома в хорошем настроении. Умылся, пошел на пробежку утреннюю. Зашел домой, сходил в душ, покушал. Начал делать домашние задания по английскому языку. Весь день я играл в приставку. Ближе к вечеру я позвонил к девушке, позвал в кафе. Вечером я пришел домой.",муж.,1,8.0,0.6964285714285714,4.125,0.8461538461538461,650.887573964497,0.0,0.0,2.2222222222222223,91.11111111111111,11.11111111111111,0.0,0.0,0.0,11.11111111111111,11.11111111111111,0.0,0.0,0.0,2.2222222222222223,15.555555555555555,0.0,6.666666666666667,2.2222222222222223,0.0,11.11111111111111,0.0,0.0
7,4П.docx,114,14.25,28.07,88.6,47.37,13.16,9.65,6.14,3.51,0.0,1.75,18.42,3.51,15.79,9.65,3.51,0.88,0.0,13.16,6.14,23.68,4.39,6.14,0.0,2.63,1.75,0.0,8.77,0.88,0.88,0.0,0.88,0.0,10.53,7.89,1.75,24.56,7.02,17.54,0.0,4.0,"Вчера я проснулся у друга в Шипово, невыспался, так как играли всю ночь в приставку. Была ночь веселая, подруги, друзья. Проснувшись мы не знали, как добираться домой, потому что было воскресенье, автобусы не ходили, но у нас оказался хороший знакомый, который решил забрать нас. Приехав домой к бабушке, меня сильно накормили, что я не мог встать с дивана. Пролежав на диване с планшетом в руках, я думал о том, что сколько много я мог сделать за это время. Ближе к вечеру я встретился с друзьями, общались, решили вспомнить старые истории, произошедшие с нами, было весело. На этом и закончился мой день. Ну как закончился, пришел домой, покушал, посидел за компьютером и лег спать.  ",муж.,0,15.666666666666664,0.6241134751773051,4.056737588652482,0.7840909090909091,737.345041322314,2.6548672566371683,0.8849557522123894,3.5398230088495577,99.11504424778761,7.079646017699115,3.5398230088495577,11.504424778761061,1.7699115044247788,23.893805309734514,7.964601769911504,0.8849557522123894,0.0,7.079646017699115,3.5398230088495577,10.619469026548673,3.5398230088495577,5.3097345132743365,7.964601769911504,2.6548672566371683,3.5398230088495577,2.6548672566371683,2.6548672566371683
8,5Л.docx,77,7.7,22.08,81.82,45.45,15.58,12.99,3.9,5.19,3.9,1.3,12.99,0.0,11.69,10.39,2.6,1.3,1.3,22.08,2.6,18.18,0.0,1.3,2.6,2.6,1.3,1.3,10.39,2.6,5.19,0.0,5.19,0.0,6.49,5.19,1.3,20.78,12.99,6.49,1.3,5.0,"Я говорю брату держи бутылку пива на готове, если что будем бить. Выходим мы с магазина, пацаны говлорят пойдем отойдем поговорим. Я говорю. Что у нас нет желания общаться, да и к тому же мы спешим. Один из парней достает резко что-то из кармана. И я сразу разбиваю ему об голову бутылку, тот падает. кровь идет. Его друзья моментально начали убегать. Брат за ним побежал, но не догнал. В итоге тип этот извинился и мы дальше пошли бухать.",муж.,1,9.3,0.7526881720430108,3.8924731182795695,0.8714285714285714,324.4897959183673,1.282051282051282,2.564102564102564,10.256410256410255,88.46153846153845,11.538461538461538,0.0,5.128205128205128,0.0,16.666666666666664,3.8461538461538463,0.0,0.0,7.6923076923076925,10.256410256410255,2.564102564102564,2.564102564102564,3.8461538461538463,3.8461538461538463,3.8461538461538463,5.128205128205128,1.282051282051282,0.0
9,5П.docx,271,10.04,25.83,78.6,42.8,11.07,9.59,5.54,2.58,1.48,1.11,14.76,1.48,11.81,10.33,2.95,2.21,0.74,10.33,2.21,16.61,2.21,1.48,0.74,0.74,2.58,0.74,8.12,1.11,4.43,1.11,2.21,1.11,11.07,5.17,3.69,21.77,9.59,9.23,0.74,5.0,"Начало шестого утра, встал, почистил зубы. Попив чаю взял ключи от машины и поехал на учебу. Глаза даже толком не открылись. Приехал в ВГУ, достал сигарету и закурил. Курю и думаю, опять типичный день, но это было не так. ко мне подходит друг и говорит, что сегодня пересдача по математике. Я был удивлен, не расчитывал на такое. Я был полностью не готов. И понятное дело даже в мыслях не было идти на пересдачу. Одногруппник меня все-таки уговорил и пошли на пересдачу. когда я зашел в аудиторию я увидел, что там проводят занятия. Я понял, что спокойно спишу! В итоге я сдал, но был шокирован, что все прокатило. Я убежал с универа на радостях и поехал к барыге, купил у него пару бутылок хорошего коньяка. Уже наступал вечер, я набрал своему брату, мол давай выпьем повод хороший (сдал экзамен). Приехал за ним, поставил машшину. Хватаю коньяк и начинаем пить, понеслись разговоры о политике, о Украине. Об обезьяне, которую выпустили из тюрьмы Юлию Тимошенко, о том как она угрожала всем и вся. В итоге нам не хватило алкоголя и мы пошли за пивом уже время было позднее 3.00 ночи. Идут нам навстречу два парня агрессивно нкастроенные. Уже практически сблизились и говорят нам как типичный пароль- есть закурить. Я сказал нет (хотя у меня реально небыло). Мы пошли дальше в магазин, купили пиво, сигарет. Дальше я вижу, что эти два чела ждут нас у магазина. Я говорю брату держи бутылку пива наготове, если что будем бить. Выходим мы с магазина, пацаны эти опять спрашивают есть курить? Я говорю да, даю сигареты и идем дальше отдыхать в машину и разговаривать о политике.",муж.,0,12.461538461538463,0.5925925925925926,4.037037037037037,0.796875,500.75954861111114,1.4925373134328357,1.8656716417910446,7.08955223880597,89.55223880597015,8.955223880597014,2.2388059701492535,4.850746268656716,0.3731343283582089,16.417910447761194,5.223880597014925,0.0,0.7462686567164178,6.343283582089552,7.08955223880597,7.462686567164178,3.3582089552238807,5.223880597014925,4.850746268656716,2.2388059701492535,6.7164179104477615,1.1194029850746268,0.7462686567164178
